customer_id,store_city,feedback_source,rating,purchase_amount,age,visit_date,feedback_text
1083,new york,email,3.0,40.0,44.0,2023-03-16,unknown
1053,new york,online,2.0,120.0,44.0,2023-04-23,very long wait time
1070,chicago,online,4.0,40.0,52.0,2023-04-14,unknown
1045,new york,unknown,2.0,40.0,41.0,2023-12-06,store was clean
1044,new york,online,2.0,60.5,52.0,2023-09-11,very long wait time
1039,new york,in-store,3.0,75.0,41.0,2023-08-15,very long wait time
1022,los angeles,in-store,2.0,60.5,23.0,2023-04-22,very long wait time
1080,san francisco,email,2.0,9.99,41.0,2023-04-09,great service!
1010,chicago,unknown,2.0,40.0,41.0,2023-02-06,helpful staff
1000,san francisco,in-store,2.0,9.99,35.0,2023-12-15,great service!
1018,chicago,email,1.0,35.99,41.0,2023-04-12,great service!
1030,chicago,unknown,4.0,60.5,23.0,2023-07-13,store was clean
1073,new york,online,1.0,35.99,41.0,2023-06-11,okay overall
1033,new york,online,2.0,25.5,41.0,2023-06-12,helpful staff
1090,san francisco,online,1.0,9.99,35.0,2023-07-27,unknown
1004,san francisco,online,2.0,75.0,41.0,2023-06-18,loved the experience
1076,chicago,online,4.0,60.5,38.0,2023-06-10,very long wait time
1077,los angeles,unknown,4.0,120.0,44.0,2023-03-09,unknown
1012,new york,unknown,2.0,40.0,41.0,2023-10-16,very long wait time
1031,chicago,online,2.0,40.0,38.0,2023-10-04,store was clean
1055,san francisco,in-store,2.0,75.0,41.0,2023-10-31,very long wait time
1088,new york,online,3.0,75.0,52.0,2023-05-15,great service!
1026,new york,in-store,1.0,35.99,23.0,2023-07-14,helpful staff
1042,new york,unknown,5.0,9.99,35.0,2023-05-08,loved the experience
1069,los angeles,in-store,1.0,60.5,23.0,2023-02-02,staff were rude
1015,new york,in-store,2.0,60.5,60.0,2023-06-25,very long wait time
1040,new york,in-store,1.0,25.5,60.0,2023-01-22,unknown
1096,los angeles,online,3.0,25.5,41.0,2023-08-26,great service!
1009,san francisco,unknown,1.0,40.0,41.0,2023-06-07,staff were rude
1072,san francisco,in-store,2.0,35.99,41.0,2023-07-02,loved the experience
1011,chicago,online,2.0,75.0,44.0,2023-08-18,staff were rude
1047,new york,email,4.0,60.5,44.0,2023-12-31,great service!
1085,san francisco,in-store,2.0,120.0,44.0,2023-02-20,helpful staff
1028,new york,online,2.0,35.99,52.0,2023-09-21,helpful staff
1093,los angeles,unknown,5.0,40.0,41.0,2023-10-10,okay overall
1005,los angeles,online,2.0,40.0,29.0,2023-01-27,helpful staff
1066,los angeles,in-store,1.0,35.99,41.0,2023-08-14,okay overall
1065,san francisco,unknown,1.0,40.0,23.0,2023-04-10,staff were rude
1035,san francisco,email,3.0,35.99,41.0,2023-10-13,store was clean
1016,los angeles,in-store,2.0,40.0,52.0,2023-07-04,unknown
